id,scientific_name,family,kingdom,phylum,parent,class,genus,Species ID,auditory system,body mass (g),conservation status,ecoregion,geographic distribution,habitat,hearing range (Hz),hearing threshold (dB),locomotion,number of records in gbif,number of records in iNat,number of research grade records in iNat,number of specimens in ggbn,population trend
458,Aramides saracura,Rallidae,Animalia,Chordata,Aramides,Aves,Aramides,47048109,"[2, 0]",60.75,[],"[41, 72, 407, 484, 192]","[190, 222, 222, 188, 1]",[17],"[2000.0, 500.0]",40.0,[16],6071.0,7077.0,6520.0,199.0,nan
460,Aramides ypecaha,Rallidae,Animalia,Chordata,Aramides,Aves,Aramides,1052901,"[2, 0]",21.6,[8],"[397, 510, 97, 422, 531]","[122, 58, 122, 22]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",24504.0,573.0,532.0,3.0,Stable
487,Fulica cristata,Rallidae,Animalia,Chordata,Fulica,Aves,Fulica,1050369,"[2, 0]",24.3,[8],"[377, 266, 48]","[158, 143, 277, 58, 158]","[54, 20, 53, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",10787.0,406.0,370.0,3.0,Stable
585,Tetraogallus tibetanus,Phasianidae,Animalia,Chordata,Tetraogallus,Aves,Tetraogallus,311569,"[2, 0]","[63000.0, 1353.33, 14500.0, 63000.0, 63000.0]",[8],"[68, 546, 179, 104, 462]","[115, 175, 117, 113, 263]","[81, 53, 17, 54, 57]",,,"[16, 5, 8]",6721.0,5730.0,4958.0,10.0,Decreasing
871,Alectoris barbara,Phasianidae,Animalia,Chordata,Alectoris,Aves,Alectoris,311526,"[2, 0]","[112.0, 3.5, 39.55, 95.7, 89.6]",[8],"[470, 259, 497, 468, 555]","[199, 196, 14, 18, 79]","[82, 10, 60, 22, 56]",,,"[9, 5, 8]",,60942.0,56765.0,549.0,Stable
880,Gallus sonneratii,Phasianidae,Animalia,Chordata,Gallus,Aves,Gallus,791188,"[2, 0]","[5.21, 4.57, 5.66, 6.45, 5.46]",[8],"[357, 115, 104, 452, 67]","[56, 22, 98, 108, 117]","[41, 41, 41, 41, 41]","[2000.0, 500.0]",40.0,[16],1667.0,588.0,280.0,1.0,Stable
890,Bonasa umbellus,Phasianidae,Animalia,Chordata,Bonasa,Aves,Bonasa,1053035,"[2, 0]","[54.0, 63.0]",[8],"[195, 397, 545, 239, 509]","[252, 158, 65, 225, 251]","[17, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",54358.0,,371.0,26.0,Stable
1026,Tetrao urogallus,Phasianidae,Animalia,Chordata,Tetrao,Aves,Tetrao,1179597,"[2, 0]","[120.0, 5.86, 42.0, 120.0, 94.7]",[8],"[287, 121, 544, 111, 79]","[21, 120, 243, 231, 211]","[82, 17, 40, 89, 10]",,,"[9, 5, 8]",83986.0,1187.0,662.0,241.0,Stable
1078,Tympanuchus pallidicinctus,Phasianidae,Animalia,Chordata,Tympanuchus,Aves,Tympanuchus,914154,"[2, 0]",,"[0, 8]",[],"[114, 108, 11, 25, 226]","[82, 32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",43578.0,,,,Stable
1224,Ptilopachus petrosus,Odontophoridae,Animalia,Chordata,Ptilopachus,Aves,Ptilopachus,329299,"[2, 0]",,"[8, 9]","[299, 199, 415, 118, 91]","[126, 222, 58, 279, 126]","[65, 80, 98, 5, 93]",,,[13],,2878.0,2632.0,55.0,Unknown
1264,Centrocercus urophasianus,Phasianidae,Animalia,Chordata,Centrocercus,Aves,Centrocercus,920462,"[2, 0]",52.0,[],"[488, 22, 398, 305, 535]","[110, 173, 40, 239, 83]",[],"[1000.0, 5000.0]",10.0,"[11, 12]",12836.0,,,1.0,nan
1630,Centropus superciliosus,Cuculidae,Animalia,Chordata,Centropus,Aves,Centropus,1039169,"[2, 3, 1]",,[8],"[460, 307, 153, 165, 586]","[1, 41, 5, 110, 110]","[32, 34]","[300.0, 30.0, 80.0, 500.0]",80.0,[8],,1559.0,1538.0,,Decreasing
1692,Centropus phasianinus,Cuculidae,Animalia,Chordata,Centropus,Aves,Centropus,795473,"[2, 0]",415.91,"[0, 8]","[410, 110, 490]","[48, 56, 48, 98]","[42, 44, 32]","[500.0, 200.0]",80.0,[16],,,,,Stable
1850,Cacomantis flabelliformis,Cuculidae,Animalia,Chordata,Cacomantis,Aves,Cacomantis,457783,"[2, 0]",27.47,[8],[413],"[277, 152, 58]",[32],"[2000.0, 500.0]",40.0,[16],712.0,925.0,895.0,23.0,Stable
2071,Penelope montagnii,Cracidae,Animalia,Chordata,Penelope,Aves,Penelope,328684,"[2, 0]","[4040.0, 87.92, 825.0, 4232.0, 734.84]",[8],"[479, 159, 167, 146, 288]","[110, 86, 222, 1, 47]","[4, 66, 88, 60, 69]",,,"[7, 16, 5, 8]",,,,12.0,Stable
2203,Merops hirundineus,Meropidae,Animalia,Chordata,Merops,Aves,Merops,45518465,"[2, 0]","[136.0, 103.0]",[8],"[394, 379, 189, 293, 268]","[34, 188, 66, 50, 98]","[98, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",348308.0,,,4.0,Stable
2229,Merops orientalis,Meropidae,Animalia,Chordata,Merops,Aves,Merops,1055375,"[2, 0]",86.48,[8],"[1, 250, 352, 219, 7]","[58, 279, 276, 126, 126]",[32],"[2000.0, 500.0]",40.0,[16],5399.0,5549.0,3832.0,5.0,Stable
2264,Coracias cyanogaster,Coraciidae,Animalia,Chordata,Coracias,Aves,Coracias,45515733,"[2, 0]",,[8],[],"[25, 108, 64, 273, 9]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",59554.0,1133.0,622.0,2.0,Stable
3045,Columba leuconota,Columbidae,Animalia,Chordata,Columba,Aves,Columba,45513645,"[2, 0]","[24.0, 26.6]",[8],"[556, 315, 536, 267, 327]","[246, 0, 85, 221, 33]","[44, 23, 76, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",31951.0,769.0,672.0,,Increasing
3069,Columba leucomela,Columbidae,Animalia,Chordata,Columba,Aves,Columba,45517832,"[2, 0]",65.0,[8],"[427, 189, 386, 442, 269]","[248, 257, 72, 34, 119]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",245632.0,2867.0,2572.0,7.0,Stable
3117,Patagioenas flavirostris,Columbidae,Animalia,Chordata,Patagioenas,Aves,Patagioenas,337448,"[1, 2]",,[8],"[547, 182, 215, 25, 383]","[222, 273, 273, 56, 53]","[53, 34, 32]",,,[13],,386.0,358.0,21.0,Unknown
3340,Treron waalia,Columbidae,Animalia,Chordata,Treron,Aves,Treron,1056724,"[2, 0]",10.61,[],"[537, 499, 54, 324, 293]","[188, 66]","[41, 5]","[2000.0, 500.0]",40.0,[16],8791.0,843.0,731.0,,nan
3544,Columbina inca,Columbidae,Animalia,Chordata,Columbina,Aves,Columbina,1178681,"[2, 0]",435.41,[8],"[362, 153, 586, 21, 162]","[255, 110, 39, 76, 1]","[63, 38, 42, 54, 32]",,,"[9, 8]",1183.0,391.0,286.0,,Stable
3623,Geophaps scripta,Columbidae,Animalia,Chordata,Geophaps,Aves,Geophaps,47046718,[],,[],[],[],[],,,[],,,,,nan
3734,Platalea alba,Threskiornithidae,Animalia,Chordata,Platalea,Aves,Platalea,796029,"[2, 0]","[1079.0, 1273780.3]","[0, 8]","[254, 565, 250, 569, 259]","[222, 222, 58, 279, 276]","[52, 30, 53, 82, 12]","[1500.0, 200.0]",25.0,[7],,62082.0,59328.0,1.0,Increasing
3813,Spheniscus demersus,Spheniscidae,Animalia,Chordata,Spheniscus,Aves,Spheniscus,323827,"[2, 0]","[230.0, 70.0, 230.0]",[8],"[324, 54, 537, 394, 386]","[66, 203, 74, 188, 66]","[32, 73]",,,[8],,589.0,433.0,8.0,Decreasing
3914,Gallinago hardwickii,Scolopacidae,Animalia,Chordata,Gallinago,Aves,Gallinago,45515575,"[2, 0]","[117.0, 134.0, 140.0]",[8],"[19, 482, 70, 303, 321]","[24, 54, 84, 77, 96]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",1442524.0,14549.0,,19.0,Decreasing
4146,Oceanites oceanicus,Hydrobatidae,Animalia,Chordata,Oceanites,Aves,Oceanites,45511933,"[2, 0]",41.0,[8],"[91, 135, 36, 95, 255]","[57, 279, 58, 126, 276]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",12266.0,967.0,921.0,,Decreasing
4191,Phoebetria palpebrata,Diomedeidae,Animalia,Chordata,Phoebetria,Aves,Phoebetria,45515149,"[2, 0]",17.0,[8],"[82, 96, 140, 92, 308]","[38, 217, 254, 270, 140]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",22052.0,,,11.0,Stable
4208,Podiceps cristatus,Podicipedidae,Animalia,Chordata,Podiceps,Aves,Podiceps,45510723,"[2, 0]",166.0,"[8, 13]",[],"[63, 241, 57, 222, 222]",[32],"[1000.0, 5000.0]",-15.0,"[11, 12]",422940.0,15216.0,13608.0,,Decreasing
4309,Phalacrocorax neglectus,Phalacrocoracidae,Animalia,Chordata,Phalacrocorax,Aves,Phalacrocorax,793919,"[2, 0]",70.52,[8],"[97, 397, 90, 302, 509]","[122, 60, 176, 94, 65]","[50, 32]","[2000.0, 500.0]",40.0,[16],1068.0,1310.0,1059.0,,Unknown
4345,Larus occidentalis,Laridae,Animalia,Chordata,Larus,Aves,Larus,52571565,"[2, 0]",,[8],[],"[152, 266, 66]","[26, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 18, 12]",119126.0,2034.0,1944.0,3.0,Stable
4535,Anous stolidus,Laridae,Animalia,Chordata,Anous,Aves,Anous,815814,"[2, 0]",61.61,[8],[],"[222, 276, 126]",[32],"[2000.0, 500.0]",40.0,[16],,,,1.0,Stable
4569,Phaetusa simplex,Laridae,Animalia,Chordata,Phaetusa,Aves,Phaetusa,45508937,"[2, 0]",448.0,[8],"[409, 491, 402, 292, 311]","[15, 258, 146, 57, 154]","[53, 20, 32]","[5000.0, 1000.0]",20.0,[12],34058.0,258.0,223.0,1.0,Decreasing
4636,Fregata minor,Fregatidae,Animalia,Chordata,Fregata,Aves,Fregata,45516502,"[2, 0]",,[8],[],"[34, 66, 50, 98, 152]","[32, 34, 26]","[5000.0, 1000.0]",20.0,"[11, 12]",67448.0,,,8.0,Decreasing
4661,Falco dickinsoni,Falconidae,Animalia,Chordata,Falco,Aves,Falco,45518170,"[2, 0]",20.9,[8],"[386, 54, 60, 368, 442]","[34, 188, 98, 108, 66]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",23623.0,,,6.0,Stable
4665,Falco sparverius,Falconidae,Animalia,Chordata,Falco,Aves,Falco,45513091,"[2, 0]",9.5,[8],"[310, 312, 531, 97, 99]","[134, 143, 277, 122, 58]","[32, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",45708.0,1570.0,1500.0,14.0,Stable
4729,Ibycter americanus,Falconidae,Animalia,Chordata,Ibycter,Aves,Ibycter,4438705,"[2, 0]",,[8],[],"[15, 126, 97, 126]","[54, 53, 82, 32]",,,"[11, 8]",3387.0,276.0,202.0,17.0,Stable
4765,Coragyps atratus,Cathartidae,Animalia,Chordata,Coragyps,Aves,Coragyps,1177584,"[2, 0]",66.6,[8],"[35, 84, 446, 222, 176]","[114, 235, 64, 12, 273]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",20644.0,306.0,271.0,4.0,Stable
4793,Charadrius vociferus,Charadriidae,Animalia,Chordata,Charadrius,Aves,Charadrius,45510121,"[2, 0]","[14.175, 11.0, 13.0, 12.1, 13.4]",[],"[166, 195, 409, 239, 118]","[171, 177, 15, 158, 252]","[5, 54, 20, 42, 75]","[1000.0, 5000.0]",10.0,"[11, 11, 12]",7172875.0,50696.0,43530.0,439.0,nan
4805,Charadrius tricollaris,Charadriidae,Animalia,Chordata,Charadrius,Aves,Charadrius,321423,"[2, 0]","[104.0, 104.3]",[8],"[571, 222, 562, 35, 504]","[111, 114, 64, 56, 114]","[32, 73]",,,"[9, 5, 8]",,269.0,245.0,,Stable
5150,Hieraaetus morphnoides,Accipitridae,Animalia,Chordata,Hieraaetus,Aves,Hieraaetus,55638142,[],,[8],[],[],"[32, 26]",,,[],,243.0,222.0,,Decreasing
5165,Circus ranivorus,Accipitridae,Animalia,Chordata,Circus,Aves,Circus,45518326,"[2, 0]",8.9,[8],"[584, 269, 568, 326, 572]","[34, 188, 98, 66]","[74, 44, 95, 42, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",121735.0,,,4.0,Stable
5174,Circus maurus,Accipitridae,Animalia,Chordata,Circus,Aves,Circus,12120831,"[2, 0]",,[],[],"[204, 33, 33, 234, 204]",[54],"[1000.0, 5000.0]",10.0,"[11, 12]",27823.0,,,,nan
5231,Terathopius ecaudatus,Accipitridae,Animalia,Chordata,Terathopius,Aves,Terathopius,45515417,"[2, 0]",16.2,[8],"[548, 426, 357, 233, 243]","[259, 64, 25, 114, 121]","[32, 26, 34]","[1000.0, 5000.0]",10.0,"[11, 12]",104741.0,,,,Stable
5235,Buteogallus meridionalis,Accipitridae,Animalia,Chordata,Buteogallus,Aves,Buteogallus,790994,"[2, 0]",350.2,[8],"[293, 442, 54, 324, 131]","[222, 188, 66]",[32],"[2000.0, 500.0]",40.0,[16],11419.0,,,,Stable
5261,Aviceda subcristata,Accipitridae,Animalia,Chordata,Aviceda,Aves,Aviceda,45513622,"[2, 0]","[176.0, 190.0]",[8],"[227, 146, 530, 205, 288]","[224, 164, 238, 8, 210]",[32],"[5000.0, 1000.0]",20.0,"[11, 12]",1980588.0,,,67.0,Increasing
5365,Gyps coprotheres,Accipitridae,Animalia,Chordata,Gyps,Aves,Gyps,1052071,"[2, 0]","[32.0, 44.2, 43.2]",[8],"[33, 390, 204, 333, 7]","[57, 63, 222, 58, 279]","[80, 78, 44, 56, 93]","[1000.0, 5000.0]",10.0,"[11, 11, 12]",294501.0,,,35.0,Decreasing
5367,Gyps himalayensis,Accipitridae,Animalia,Chordata,Gyps,Aves,Gyps,45515531,"[2, 0]",131.0,[8],"[51, 62, 321, 489, 256]","[221, 3, 85, 0, 56]","[53, 5, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",25142.0,,,,Stable
5376,Butastur rufipennis,Accipitridae,Animalia,Chordata,Butastur,Aves,Butastur,45514265,"[2, 0]","[74.0, 82.0]",[8],"[571, 562, 35, 46]","[64, 114, 56, 64, 114]","[82, 40, 32]","[1000.0, 5000.0]",10.0,"[11, 12]",14916.0,,,,Stable
5401,Torgos tracheliotos,Accipitridae,Animalia,Chordata,Torgos,Aves,Torgos,45516163,"[2, 0]","[178.0, 182.0]",[8],"[380, 386, 268, 394, 263]","[84, 34, 86, 188, 1]","[84, 38, 32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",65652.0,754.0,687.0,,Decreasing
5430,Kaupifalco monogrammicus,Accipitridae,Animalia,Chordata,Kaupifalco,Aves,Kaupifalco,331075,"[2, 0]","[269998.0, 15166.67, 242000.0, 16412.18, 264173.96]",[8],"[155, 528, 372, 35, 67]","[64, 116, 121, 232, 235]","[53, 32]",,,"[16, 14, 8]",,1520.0,445.0,,Decreasing
5532,Buceros rhinoceros,Bucerotidae,Animalia,Chordata,Buceros,Aves,Buceros,52571564,"[2, 0]",,[8],[],"[108, 117, 108, 98, 22]","[26, 34, 32]","[5000.0, 1000.0]",20.0,"[11, 18, 12]",23073.0,1350.0,1331.0,3.0,Increasing
5612,Phaethornis ruber,Trochilidae,Animalia,Chordata,Phaethornis,Aves,Phaethornis,45514503,"[2, 0]","[10.6, 9.2]",[8],[],"[25, 11, 108, 115, 273]",[32],"[1000.0, 5000.0]",10.0,"[11, 12]",152846.0,1036.0,663.0,12.0,Stable
5920,Heliodoxa aurescens,Trochilidae,Animalia,Chordata,Heliodoxa,Aves,Heliodoxa,913159,"[2, 0]",540.0,[8],"[459, 90, 509, 10, 397]","[122, 143, 58, 122, 144]","[78, 32, 34]","[5000.0, 1000.0]",20.0,"[11, 12]",53574.0,1203.0,1122.0,,Decreasing
5947,Thalurania glaucopis,Trochilidae,Animalia,Chordata,Thalurania,Aves,Thalurania,313543,"[2, 0]",,[8],"[563, 101, 322, 22, 159]","[185, 256, 110, 47, 239]","[34, 32]",,,[13],,525.0,393.0,42.0,Stable
